,block,experiment,label_fraction,linear_accuracy,linear_accuracy,linear_auroc,linear_auroc,linear_auprc,linear_auprc
,,,,mean,std,mean,std,mean,std
0,ablation,resnet1d_contrastive_s123,0.01,0.8079271520841421,0.0029615877874984483,0.8870313548944697,0.0008457308173160388,0.9245359020015235,0.0020986076704189623
1,ablation,resnet1d_contrastive_s123,0.05,0.8248567630207414,0.005738736205024035,0.9010913096910036,0.0011182028346815838,0.9358292044622276,0.0012567083373978417
2,ablation,resnet1d_contrastive_s123,0.1,0.8270450240591066,0.002965861011369697,0.9044718262971508,0.0007972469534441265,0.9376782588626312,0.00023450215130046785
3,ablation,resnet1d_contrastive_s123,0.25,0.8297862327792092,0.0008818926025911009,0.9074816194705454,0.0013834533196012341,0.9394313419669663,0.00071646878707893
4,ablation,resnet1d_contrastive_s123,0.5,0.831303897692914,0.0013065334992059749,0.9092288584822277,0.00048422897753134744,0.9405600807361192,0.0002699874997186838
5,ablation,resnet1d_contrastive_s123,1.0,0.8304450640595772,0.0,0.909438316015073,0.0,0.9407125974759816,0.0
6,ablation,resnet1d_contrastive_s42,0.01,0.8096565841951082,0.004069292807096122,0.88581502941831,0.003657068222370954,0.9227613617262632,0.00394221248848609
7,ablation,resnet1d_contrastive_s42,0.05,0.8230096824668526,0.0022451133211959504,0.8993857956327789,0.0011648073020461152,0.9338552413927435,0.00086480861465819
8,ablation,resnet1d_contrastive_s42,0.1,0.8231273309097754,0.0021012354440689885,0.9024323460581543,0.001509870786324475,0.9360323914789968,0.0012273971505254418
9,ablation,resnet1d_contrastive_s42,0.25,0.8255979482111554,0.0010040865559995886,0.904103013126615,0.0007124520672065937,0.9370455947356463,0.00020352083100519475
10,ablation,resnet1d_contrastive_s42,0.5,0.827021494370522,0.00034036814883677674,0.9055434817012924,0.0006069551702500574,0.9379317226653433,0.00025910989771318644
11,ablation,resnet1d_contrastive_s42,1.0,0.8268803162390146,0.0,0.9060149969588082,0.0,0.938141659779356,0.0
12,ablation,resnet1d_contrastive_s456,0.01,0.8047741738138097,0.008844033406350567,0.8837976208656215,0.0027553918905360427,0.9224198142079568,0.0019575020694698668
13,ablation,resnet1d_contrastive_s456,0.05,0.8190566947846446,0.0036133972094371815,0.8987475896025828,0.00043610805553268033,0.9331510241091077,0.00014597990300825456
14,ablation,resnet1d_contrastive_s456,0.1,0.8207625972070259,0.002464138141264821,0.9019577427699906,0.001495622441814163,0.9350460157643076,0.0010239193396062703
15,ablation,resnet1d_contrastive_s456,0.25,0.8200214120166119,0.0007539603981228732,0.9034035240490185,0.0013157011478702769,0.9357362328659318,0.000731274884066227
16,ablation,resnet1d_contrastive_s456,0.5,0.8228096801138837,0.0015610933214997398,0.9048253471728228,0.0006828020767938015,0.9366342876074443,0.00031275260363177517
17,ablation,resnet1d_contrastive_s456,1.0,0.8231743902869445,0.0,0.9055892362203336,0.0,0.937099447784035,0.0
18,ablation,resnet1d_hybrid_s123,0.01,0.8131389781056247,0.0060908724808012935,0.8938838478587225,0.003949656045126498,0.930039804725093,0.0031091877729937066
19,ablation,resnet1d_hybrid_s123,0.05,0.8239391051659432,0.0027028177500012475,0.9035493361995153,0.0008318547450625562,0.9367747683257409,0.0011861969055663548
20,ablation,resnet1d_hybrid_s123,0.1,0.8249273520864951,0.0014879621410851963,0.9047802316738824,0.000788311842928615,0.9375873611914401,0.0006243374463285375
21,ablation,resnet1d_hybrid_s123,0.25,0.82562147789974,0.0006316965497786661,0.90686612584628,0.00132027465277611,0.9386218805865228,0.0007814854078463934
22,ablation,resnet1d_hybrid_s123,0.5,0.8259273638513394,0.0013154021920435241,0.9081057908518209,0.0006358333464031168,0.9392921373214976,0.0004819489988034959
23,ablation,resnet1d_hybrid_s123,1.0,0.8262097201143543,0.0,0.9085079401374672,0.0,0.939528417033168,0.0
24,ablation,resnet1d_hybrid_s42,0.01,0.8151390016353134,0.00551559188700964,0.8923084491700027,0.005756318269029651,0.9275822787533667,0.0060838718486114695
25,ablation,resnet1d_hybrid_s42,0.05,0.8232096848198215,0.0004941234602759831,0.9019669609748521,0.0008668921165793806,0.9356854281437745,0.0006438940073003641
26,ablation,resnet1d_hybrid_s42,0.1,0.8237273379686819,0.0007489873547875681,0.9033164405650397,0.0003056694629538988,0.9363844988262068,0.0003128300738642353
27,ablation,resnet1d_hybrid_s42,0.25,0.8253391216367252,0.0003707326264212162,0.905348903479576,0.0005266766738012422,0.9374453172110467,0.0003144647476582006
28,ablation,resnet1d_hybrid_s42,0.5,0.8257508911869551,0.00028889820251555397,0.9065087810471315,0.00032987089193863825,0.9380997724255492,0.0003232418939442247
29,ablation,resnet1d_hybrid_s42,1.0,0.826774432640384,0.0,0.9071065333659861,0.0,0.9384191070678037,0.0
30,ablation,resnet1d_hybrid_s456,0.01,0.8137860445417004,0.005638184253583405,0.892665313004554,0.0037446571653667595,0.9278176775416661,0.004045115191528634
31,ablation,resnet1d_hybrid_s456,0.05,0.8218096683490393,0.003179708998094515,0.9018739359635508,0.0006563879754637883,0.9351116384016703,0.0004820953736071236
32,ablation,resnet1d_hybrid_s456,0.1,0.8248097036435723,0.001763432036107082,0.9034156229428992,0.000984495674172003,0.9361300951462331,0.0006594713692636329
33,ablation,resnet1d_hybrid_s456,0.25,0.8247744091106955,0.000824211103101749,0.9050792403959901,0.0011075117083015611,0.93684368660749,0.0008163323305273305
34,ablation,resnet1d_hybrid_s456,0.5,0.8253038271038483,0.0007439810705426177,0.9062935383429463,0.00020688419633092952,0.9375718929403729,0.0001895231653570995
35,ablation,resnet1d_hybrid_s456,1.0,0.825539123989694,0.0,0.9065964015799187,0.0,0.93788998093391,0.0
36,ablation,resnet1d_mae_s123,0.01,0.7946093483452746,0.004767549826603706,0.869444308256118,0.0029908514682009395,0.9039909743726313,0.0054452365456544305
37,ablation,resnet1d_mae_s123,0.05,0.8057153613571924,0.0006217583859445208,0.8868970128148819,0.0005574493389654125,0.9223443214986017,0.0004031980244048827
38,ablation,resnet1d_mae_s123,0.1,0.8101271779667996,0.0007347142905679234,0.8903707770696528,0.0005610838875684611,0.9252990548626531,0.000654618272288591
39,ablation,resnet1d_mae_s123,0.25,0.8126919140225178,0.001400708349485379,0.892824167283389,0.0007282196808620767,0.9271325707466783,0.0008840172492136604
40,ablation,resnet1d_mae_s123,0.5,0.8140095765832539,0.00037073262642116117,0.8940146124454577,0.00021272622078048306,0.9278447743295098,0.00036423695055965273
41,ablation,resnet1d_mae_s123,1.0,0.8144566406663608,0.0,0.8944778782253927,0.0,0.9281224325882964,0.0
42,ablation,resnet1d_mae_s42,0.01,0.7970799656466546,0.008431282043956661,0.8698045677347167,0.0053057934472350715,0.9080721027326568,0.004232249428762916
43,ablation,resnet1d_mae_s42,0.05,0.8097154084165696,0.0019563277024420263,0.8854465918420354,0.00040499497870207386,0.9214485168108859,0.0005985144042751171
44,ablation,resnet1d_mae_s42,0.1,0.8124213226037954,0.0013874537806614756,0.889342925133819,0.0005433085906214372,0.9244655093327832,0.00064453192309443
45,ablation,resnet1d_mae_s42,0.25,0.8142331086248072,0.0014476496290394731,0.8914661917849968,0.0002764017817009994,0.9260423026738532,0.0003104516834463475
46,ablation,resnet1d_mae_s42,0.5,0.8149272344380522,0.0006013895654834129,0.8927323098433896,0.0002985839045754675,0.9267527103409495,0.000547138755611349
47,ablation,resnet1d_mae_s42,1.0,0.8143860516006071,0.0,0.8929372602450966,0.0,0.927040928470543,0.0
48,ablation,resnet1d_mae_s456,0.01,0.7955034765114884,0.004818576325690653,0.870101440158242,0.005344073142287281,0.9054640431717863,0.008921662661503744
49,ablation,resnet1d_mae_s456,0.05,0.8093742279320933,0.002140781446951771,0.8893273082303397,0.0010536855927240707,0.9235645883559745,0.0006881392244558179
50,ablation,resnet1d_mae_s456,0.1,0.8129625054412405,0.0006662476092550721,0.8922668210892731,0.0011944533406048866,0.9260830629582036,0.0005547673517140189
51,ablation,resnet1d_mae_s456,0.25,0.8140448711161308,5.39132895087439e-05,0.8943237350202811,0.0005392380399803596,0.9281488331076936,0.0002985978813283196
52,ablation,resnet1d_mae_s456,0.5,0.8146919375522065,0.0003163408901221824,0.8959413872136591,0.00033120709222947615,0.9291040308590466,0.00012852566678128857
53,ablation,resnet1d_mae_s456,1.0,0.8145272297321146,0.0,0.8962960722615896,0.0,0.929379400138752,0.0
54,ablation,wavkan_contrastive_s123,0.01,0.6133954517111966,0.020805291401052837,0.7492504073277279,0.017496109459586167,0.8178217354102572,0.009828341321105646
55,ablation,wavkan_contrastive_s123,0.05,0.7319380228002682,0.002264358159368337,0.8184115341659849,0.0029515428559467784,0.8649491918580369,0.002486943000493806
56,ablation,wavkan_contrastive_s123,0.1,0.757491264603113,0.0036384195676048615,0.8291758855513368,0.0025666957395719483,0.87413460420682,0.0020931965958206713
57,ablation,wavkan_contrastive_s123,0.25,0.7734914528406217,0.0008972959665722582,0.8426367759983832,0.0002585170148579404,0.8848928965570576,0.0001753075099009286
58,ablation,wavkan_contrastive_s123,0.5,0.7789738702808268,0.0007253291281919848,0.8482235910803236,0.000359506734046334,0.8895153484406131,0.00033167291638513697
59,ablation,wavkan_contrastive_s123,1.0,0.7847739385169237,0.0,0.8550722652196642,0.0,0.8954688689120034,0.0
60,ablation,wavkan_contrastive_s42,0.01,0.6083600983540983,0.009553828680651038,0.7260393583765038,0.013528695545982907,0.8013403271373756,0.005053133490582271
61,ablation,wavkan_contrastive_s42,0.05,0.7239967529029753,0.0019878061398833865,0.8131050721581499,0.0027831335304166717,0.8609882338594961,0.0022767453660705057
62,ablation,wavkan_contrastive_s42,0.1,0.7525735596889375,0.00032794173730911014,0.8308876470507617,0.0011287158975281989,0.8743655923603999,0.0013675260162137775
63,ablation,wavkan_contrastive_s42,0.25,0.7709737761620724,0.001150731682977528,0.8453105890579745,0.0007654089063487318,0.8864718274669254,0.0005869014188745036
64,ablation,wavkan_contrastive_s42,0.5,0.7817386086895141,0.0006807362976736168,0.8548857903166756,0.0005469620435121452,0.8947475856956523,0.0004370745418971757
65,ablation,wavkan_contrastive_s42,1.0,0.7848798221155543,0.0,0.8583672177140939,0.0,0.898453106602692,0.0
66,ablation,wavkan_contrastive_s456,0.01,0.6120307297732914,0.015371339740023214,0.7315078833598513,0.02921097091501565,0.8071348896826377,0.017871309898101803
67,ablation,wavkan_contrastive_s456,0.05,0.7199731761550137,0.004020944276892153,0.8142082791797788,0.0035728574337122072,0.8632358283859599,0.0026674988232075546
68,ablation,wavkan_contrastive_s456,0.1,0.7505853010035413,0.0012609256931928254,0.8294151509925639,0.0007353565656566233,0.8745010040642782,0.00036859542398539154
69,ablation,wavkan_contrastive_s456,0.25,0.7717855504182403,0.001400708349485332,0.8446439143423738,0.0008802489167161256,0.8861543335009543,0.0006661082607477142
70,ablation,wavkan_contrastive_s456,0.5,0.77893857574795,0.0012549841254541972,0.8506616193188122,0.0013888694866998697,0.8910588103802208,0.00100874013895149
71,ablation,wavkan_contrastive_s456,1.0,0.7845268767867856,0.0,0.8569052654875632,0.0,0.8959864573753048,0.0
72,ablation,wavkan_hybrid_s123,0.01,0.6206896551724138,0.016820094652936844,0.7386255152813362,0.020585655795115496,0.8102520781678583,0.012337533576284452
73,ablation,wavkan_hybrid_s123,0.05,0.7308674219696703,0.0023295282957759046,0.812752713755215,0.0025543863800302985,0.8590189793996608,0.001963949496508441
74,ablation,wavkan_hybrid_s123,0.1,0.7535618066094895,0.002197728336349528,0.8278400531191578,0.001003401802435097,0.8701441999119929,0.0008904849717131772
75,ablation,wavkan_hybrid_s123,0.25,0.7706914198990577,0.001305897716443738,0.8414889055505449,0.00043750639190955277,0.8815978707127895,2.9503856919734646e-05
76,ablation,wavkan_hybrid_s123,0.5,0.7778209155401828,0.0009516442849477689,0.8485882200288152,0.00025801992689812266,0.887055060546972,0.0002664208383055727
77,ablation,wavkan_hybrid_s123,1.0,0.78346804080048,0.0,0.8550687421115009,0.0,0.892603539832948,0.0
78,ablation,wavkan_hybrid_s42,0.01,0.611889551641784,0.01566855990845649,0.734659129410979,0.01279848618480645,0.8108152836195472,0.006347431534283672
79,ablation,wavkan_hybrid_s42,0.05,0.7232555677125614,0.0014393074156710658,0.810039425908692,0.0021203517673439166,0.8603482673809079,0.002193980072512558
80,ablation,wavkan_hybrid_s42,0.1,0.7523382628030918,0.0017120577186509923,0.8271183139054908,0.0014283274278457266,0.8730311423945337,0.0016800923393224495
81,ablation,wavkan_hybrid_s42,0.25,0.7727973270273768,0.00099598978874086,0.8432532400494509,0.0008367879038976472,0.8857923815763481,0.0006987209549087048
82,ablation,wavkan_hybrid_s42,0.5,0.7805150648831164,0.0008097256112457652,0.8516016008921916,0.0011028723620485161,0.8929647267161062,0.0011974411198837913
83,ablation,wavkan_hybrid_s42,1.0,0.785444534641584,0.0,0.8584926016156168,0.0,0.899104289198721,0.0
84,ablation,wavkan_hybrid_s456,0.01,0.6230543888751633,0.02478792108559042,0.7437073328317977,0.031379853762997185,0.8113589435941813,0.021443223585828168
85,ablation,wavkan_hybrid_s456,0.05,0.7308909516582549,0.0010554973501973825,0.8282474216354695,0.001837586693341921,0.8741106195885285,0.0017589331637540295
86,ablation,wavkan_hybrid_s456,0.1,0.7595854068871398,0.0019601445171093706,0.8389436765915462,0.0013200943346409644,0.8821847982260637,0.0007368316328581306
87,ablation,wavkan_hybrid_s456,0.25,0.7766091365780774,0.0011257425347503368,0.8484041380521624,0.0013043961922029022,0.8894670617246208,0.0009110919181480657
88,ablation,wavkan_hybrid_s456,0.5,0.7834445111118954,0.001080573889406231,0.854473887476881,0.00041711016905883247,0.8941971488951809,0.00040007502486457937
89,ablation,wavkan_hybrid_s456,1.0,0.7861151307662443,0.0,0.8584922855046094,0.0,0.8970813625208214,0.0
90,ablation,wavkan_mae_s123,0.01,0.6180072706737726,0.012066446667698598,0.7360777591337998,0.02101811587126542,0.8062092971750078,0.010999011431334065
91,ablation,wavkan_mae_s123,0.05,0.7347027612089554,0.0006624975929269957,0.8167312529041424,0.0022356702800940547,0.8614906216346866,0.0016077293654741943
92,ablation,wavkan_mae_s123,0.1,0.7550441769903175,0.0009808663324083517,0.8292175153315878,0.0012528573222488925,0.8719915471741161,0.0013152287467232807
93,ablation,wavkan_mae_s123,0.25,0.7729385051588843,0.0008748014186058956,0.8418799790542808,0.0006196686658963018,0.8836884517890823,0.00017986085062787427
94,ablation,wavkan_mae_s123,0.5,0.7812444852292378,0.0006871112248590677,0.8497213998124163,0.0005436065959343369,0.8908043939787053,0.0006162228328824306
95,ablation,wavkan_mae_s123,1.0,0.7863974870292592,0.0,0.855102713847669,0.0,0.8955033382539405,0.0
96,ablation,wavkan_mae_s42,0.01,0.611807197731738,0.018080184995755318,0.7277537677304965,0.022362399154040136,0.8020228102869583,0.017710005416559673
97,ablation,wavkan_mae_s42,0.05,0.7048671160837187,0.0030103981416072954,0.7916157557992568,0.002674403066938778,0.8461825280038058,0.0013893063353984346
98,ablation,wavkan_mae_s42,0.1,0.73431452134731,0.0003806795300500195,0.8120680003179329,0.0007167341347857049,0.8607951903753962,0.0008817085178185924
99,ablation,wavkan_mae_s42,0.25,0.7611030718008447,0.001425100992142833,0.8322304866102718,0.0009461372003743223,0.8756110510005094,0.0007653934985990458
100,ablation,wavkan_mae_s42,0.5,0.7730208590689301,0.0011539747096510334,0.8439545578122302,0.0006284303571910091,0.8847793538893485,0.00030283367941022976
101,ablation,wavkan_mae_s42,1.0,0.7823386157484206,0.0,0.8539497601308889,0.0,0.8922735512847533,0.0
102,ablation,wavkan_mae_s456,0.01,0.6268897281144484,0.013129961548308615,0.7463523967849294,0.007884600384868825,0.8129108442883934,0.006482935945221291
103,ablation,wavkan_mae_s456,0.05,0.7361380722126142,0.002997335085668625,0.8197998767153475,0.003698151925730828,0.8649334680717392,0.003052655082683221
104,ablation,wavkan_mae_s456,0.1,0.7602324733232155,0.0015263950373495603,0.8362407694226217,0.0005206806296607512,0.8781960637798226,0.00018490990437167816
105,ablation,wavkan_mae_s456,0.25,0.7774797350557066,0.0009400103227302902,0.8500864536412941,0.0009514997028427988,0.8903494372410464,0.0007229500824388905
106,ablation,wavkan_mae_s456,0.5,0.7828209743644043,0.00032794173730907176,0.8554410359021615,0.000759051120251425,0.8951662968029751,0.0007163404147116444
107,ablation,wavkan_mae_s456,1.0,0.7878798574100871,0.0,0.8601867526727899,0.0,0.8990764444792095,0.0
108,baselines,simclr_naive_s42,0.01,0.6274309109518935,0.007322148363069308,0.6633549670869298,0.006280894252418515,0.7155697388047232,0.004369380138002983
109,baselines,simclr_naive_s42,0.05,0.6651490017529618,0.003673740998378901,0.7159652863614946,0.0031435874046567055,0.764646618755211,0.003234660690295099
110,baselines,simclr_naive_s42,0.1,0.6731961552488853,0.0012579584172173089,0.726012946112169,0.0009425383471751494,0.7744713744782848,0.0010131117056199853
111,baselines,simclr_naive_s42,0.25,0.6788903398863516,0.0007764797232908405,0.7334174657681011,0.00044226545031563565,0.7803564296653734,0.0002702098281923596
112,baselines,simclr_naive_s42,0.5,0.6813962517206086,0.00036848574132318095,0.7362274274986828,0.00018006892920427025,0.7828249722227915,0.0003458671378193179
113,baselines,simclr_naive_s42,1.0,0.6821727314438993,0.0,0.736952910758314,0.0,0.7831921321628496,0.0
114,loo_ablation,resnet1d_hybrid_loo_amplitude_perturbation_s42,0.01,0.81162131319192,0.00875605600468934,0.892793502816148,0.003983483075535879,0.9282428749730175,0.0035409978400292386
115,loo_ablation,resnet1d_hybrid_loo_amplitude_perturbation_s42,0.05,0.8222920269650231,0.0027842442977126145,0.9021543740137338,0.0015382017582493976,0.9350542641762551,0.0009503536680632993
116,loo_ablation,resnet1d_hybrid_loo_amplitude_perturbation_s42,0.1,0.8239508700102354,0.0025419415635521588,0.9042125931772884,0.00046419289517397557,0.9361573849659347,0.0001307144545888256
117,loo_ablation,resnet1d_hybrid_loo_amplitude_perturbation_s42,0.25,0.8259744232285086,0.0016839351694021836,0.906058458823285,0.000924214012926949,0.9373854401885633,0.00035946243484564697
118,loo_ablation,resnet1d_hybrid_loo_amplitude_perturbation_s42,0.5,0.8254214755467711,0.0016630929703097717,0.9073120514078891,0.00041000768361115563,0.9381747115352415,0.00024089333775413626
119,loo_ablation,resnet1d_hybrid_loo_amplitude_perturbation_s42,1.0,0.82603324744997,0.0,0.9077671492872778,0.0,0.9385049688066299,0.0
